crate_name,test_name,exit_code,native_exit_code,error_type,error_text,error_subtext
devsync,utils::test::test_filter_dir_entries,101,0,Miri Internal Error,NA,NA
devsync,utils::test::test_save_dirs_and_files,101,0,Miri Internal Error,NA,NA
pcre2,bytes::tests::find_start_end_and_as_bytes,101,0,Miri Internal Error,NA,NA
pcre2,bytes::tests::find_utf_emoji_as_bytes,101,0,Miri Internal Error,NA,NA
pcre2,bytes::tests::jit4lyfe,101,0,Miri Internal Error,NA,NA
pcre2,bytes::tests::jit_if_available,101,0,Miri Internal Error,NA,NA
pcre2,bytes::tests::jit_test_lazy_alloc_subject,101,0,Miri Internal Error,NA,NA
pcre2,bytes::tests::max_jit_stack_size_does_something,101,0,Miri Internal Error,NA,NA
byztime,tests::local_time_succeeds,101,0,Test Failed,NA,NA
lzzzz,lz4f::dictionary::tests::create_dictionary,101,0,Test Failed,NA,NA
rgb-lightning,routing::gossip::tests::test_channel_timeouts,101,0,Test Failed,NA,NA
rlz,index::suffix_array::tests::banana_refine,101,0,Test Failed,NA,NA
rlz,index::suffix_array::tests::banana_saca,101,0,Test Failed,NA,NA
rlz,index::suffix_array::tests::random_refine,101,0,Test Failed,NA,NA
rlz,index::suffix_array::tests::random_refine_multi,101,0,Test Failed,NA,NA
rlz,index::suffix_array::tests::random_refine_multi_not_found,101,0,Test Failed,NA,NA
rlz,index::suffix_array::tests::random_refine_multi_with_buckets,101,0,Test Failed,NA,NA
rlz,index::suffix_array::tests::random_refine_multi_with_buckets_not_found,101,0,Test Failed,NA,NA
rlz,index::tests::banana_factorize,101,0,Test Failed,NA,NA
rlz,tests::encode_and_decode,101,0,Test Failed,NA,NA
lightning,routing::gossip::tests::handling_channel_announcements,101,0,Test Failed,NA,NA
